,Date,Product,Category,Region,Salesperson,Customer_ID,Quantity,Unit_Price,Discount_Rate,Subtotal,Discount_Amount,Total_Amount,Customer_Age,Customer_Satisfaction,Payment_Method,Order_Priority,Month,Year,Quarter,Day_of_Week,Month_Name,Days_Since_Purchase,Revenue_Category,Bulk_Order,CustomerRelation
0,00:00.0,Headphones,Accessories,West,Sales_Person_15,Customer_0577,2,79.22,0.068,158.45,10.71,147.74,20,4.5,Bank Transfer,Low,1,2020,1,Wednesday,January,1975,Very Low,No,New
1,00:33.8,Keyboard,Accessories,Central,Sales_Person_19,Customer_0581,15,46.69,0.074,700.42,51.99,648.43,31,3,Credit Card,High,1,2020,1,Wednesday,January,1975,Very Low,Yes,New
2,01:07.7,Scanner,Accessories,East,Sales_Person_22,Customer_0952,4,182.63,0.063,730.51,46.2,684.3,37,2.5,Bank Transfer,High,1,2020,1,Wednesday,January,1975,Very Low,No,New
3,01:41.5,Tablet,Electronics,South,Sales_Person_10,Customer_0009,2,355.84,0.041,711.69,29.2,682.49,57,4.9,Credit Card,Medium,1,2020,1,Wednesday,January,1974,Very Low,No,New
4,02:15.4,Monitor,Electronics,Central,Sales_Person_12,Customer_0236,2,283.01,0.206,566.02,116.63,449.4,70,4.3,Bank Transfer,Medium,1,2020,1,Thursday,January,1974,Very Low,No,New
5,02:49.2,Headphones,Accessories,East,Sales_Person_14,Customer_0710,3,110.79,0.201,332.38,66.66,265.72,62,2.5,Credit Card,Low,1,2020,1,Thursday,January,1974,Very Low,No,New
6,03:23.1,Printer,Accessories,East,Sales_Person_09,Customer_0924,1,208.23,0.145,208.23,30.29,177.95,30,3.7,Debit Card,Medium,1,2020,1,Thursday,January,1973,Very Low,No,New
7,03:56.9,Mouse,Accessories,East,Sales_Person_13,Customer_0685,3,36.78,0.233,110.34,25.72,84.62,24,2.1,Debit Card,Critical,1,2020,1,Friday,January,1973,Very Low,No,New
8,04:30.8,Headphones,Accessories,East,Sales_Person_03,Customer_0794,4,92.09,0.043,368.35,15.79,352.56,35,3.2,Bank Transfer,Low,1,2020,1,Friday,January,1973,Very Low,No,New
9,05:04.6,Scanner,Accessories,West,Sales_Person_21,Customer_0028,2,190.17,0.143,380.33,54.57,325.76,51,3.2,Cash,High,1,2020,1,Friday,January,1972,Very Low,No,New
10,05:38.5,Scanner,Accessories,East,Sales_Person_14,Customer_0808,5,191.18,0.202,955.9,193.24,762.67,60,2.2,Cash,Medium,1,2020,1,Friday,January,1972,Very Low,No,New
11,06:12.3,Tablet,Electronics,West,Sales_Person_21,Customer_0911,3,415.43,0.028,1246.29,34.98,1211.31,51,4.8,Credit Card,Low,1,2020,1,Saturday,January,1972,Very Low,No,New
12,06:46.2,Monitor,Electronics,West,Sales_Person_10,Customer_0646,3,381.28,0.011,1143.85,12.93,1130.91,54,3.3,Debit Card,Low,1,2020,1,Saturday,January,1972,Very Low,No,New
13,07:20.0,Keyboard,Accessories,East,Sales_Person_16,Customer_0027,10,42.18,0.133,421.81,55.91,365.9,23,4.7,Bank Transfer,High,1,2020,1,Saturday,January,1971,Very Low,Yes,New
14,07:53.9,Tablet,Electronics,South,Sales_Person_07,Customer_0550,3,403.75,0.025,1211.26,30,1181.26,70,4.4,Cash,Low,1,2020,1,Sunday,January,1971,Very Low,No,New
15,08:27.7,Tablet,Electronics,East,Sales_Person_04,Customer_0196,4,372.81,0.147,1491.23,219.33,1271.9,35,3.6,Cash,High,1,2020,1,Sunday,January,1971,Very Low,No,New
16,09:01.5,Mouse,Accessories,East,Sales_Person_20,Customer_0203,5,32.7,0.157,163.51,25.62,137.89,72,2.9,Bank Transfer,Low,1,2020,1,Sunday,January,1970,Very Low,No,New
17,09:35.4,Webcam,Accessories,East,Sales_Person_23,Customer_0085,1,78.44,0.028,78.44,2.19,76.25,43,4.8,Credit Card,High,1,2020,1,Sunday,January,1970,Very Low,No,New
18,10:09.2,Monitor,Electronics,South,Sales_Person_25,Customer_0832,3,289.48,0.099,868.45,85.62,782.84,31,4.9,Cash,Low,1,2020,1,Monday,January,1970,Very Low,No,New
